RMSE,COMID,Name,Outlet,station_nm,Lat,Long,outlet_comid,type,Location
4.099966822559508,81034272,pe_basin_0_0059,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.9449317310576975,81034272,pe_basin_0_0060,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.039547041542318,81034272,pe_basin_0_0061,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.5508335601059515,81034272,pe_basin_0_0062,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.2913271460403437,81034272,pe_basin_0_0063,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.4536327561942364,81034272,pe_basin_0_0064,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.6017541418325743,81034272,pe_basin_0_0065,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.234640945439632,81034272,pe_basin_0_0066,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.8848108310020124,81034272,pe_basin_0_0067,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.755506077669276,81034272,pe_basin_0_0068,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.5047620514139106,81034272,pe_basin_0_0069,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.562801451938072,81034272,pe_basin_0_0070,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.7894788957231542,81034272,pe_basin_0_0071,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.927733234074258,81034272,pe_basin_0_0072,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.2306413283535784,81034272,pe_basin_0_0073,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.7744656593846706,81034272,pe_basin_0_0074,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.746515371963747,81034272,pe_basin_0_0075,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.433066274753175,81034272,pe_basin_0_0076,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
5.3319280960218505,81034272,pe_basin_0_0077,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.5307518034400636,81034272,pe_basin_0_0078,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.581788569855548,81034272,pe_basin_0_0079,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.140030851903714,81034272,pe_basin_0_0080,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.8676966290076233,81034272,pe_basin_0_0081,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.6014597794772945,81034272,pe_basin_0_0082,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.362731244972166,81034272,pe_basin_0_0083,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.05589234520316,81034272,pe_basin_0_0084,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
5.0966128565413396,81034272,pe_basin_0_0085,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.3823222672277486,81034272,pe_basin_0_0086,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.878570991642252,81034272,pe_basin_0_0087,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.7142155401253991,81034272,pe_basin_0_0088,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.7265958623377493,81034272,pe_basin_0_0089,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.2171683316997406,81034272,pe_basin_0_0090,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.865120751939,81034272,pe_basin_0_0091,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.799926551612724,81034272,pe_basin_0_0092,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.328467589912151,81034272,pe_basin_0_0093,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
5.675974881353439,81034272,pe_basin_0_0094,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.676929438485094,81034272,pe_basin_0_0095,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.7903307932525703,81034272,pe_basin_0_0096,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.4507771973741503,81034272,pe_basin_0_0097,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.9411400701553279,81034272,pe_basin_0_0098,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.578162973091442,81034272,pe_basin_0_0099,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.455788304228084,81034272,pe_basin_0_0100,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.2046764253969426,81034272,pe_basin_0_0101,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
5.385978949488765,81034272,pe_basin_0_0102,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.708141240459807,81034272,pe_basin_0_0103,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.353202474944692,81034272,pe_basin_0_0104,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.786641983082755,81034272,pe_basin_0_0105,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.012667337050598,81034272,pe_basin_0_0106,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.2266645720095113,81034272,pe_basin_0_0107,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.643332583158118,81034272,pe_basin_0_0108,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.919730187172848,81034272,pe_basin_0_0109,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.486716468678706,81034272,pe_basin_0_0110,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.542465918799971,81034272,pe_basin_0_0111,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.007808267205635,81034272,pe_basin_0_0112,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.1781752232547276,81034272,pe_basin_0_0113,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.5316976884731366,81034272,pe_basin_0_0114,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.12067592197931,81034272,pe_basin_0_0115,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.4753623763314054,81034272,pe_basin_0_0116,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.589149847013018,81034272,pe_basin_0_0117,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
