Name,temp_rmse,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_0_0082,4.544240196041488,11.975124999999998,10.6385,1.243525,0.226575,0.5971875000000001,0.32875,268.15675,0.058575
pe_basin_0_0083,5.5709754821021145,12.013975,11.6275,0.01142499999999999,0.392425,1.1790625,0.63375,252.90475,0.100225
pe_basin_0_0084,5.033757438205216,12.052825,12.616500000000002,2.125975,0.246725,1.7609375,0.43625,237.65275000000003,0.14187500000000006
pe_basin_0_0085,6.5404710280195495,12.091675,13.605500000000005,0.8938750000000002,0.412575,2.3428125,0.23875,222.40075,0.18352500000000005
pe_basin_0_0086,5.484517934619899,12.130525,14.594500000000005,3.0084250000000003,0.266875,0.5378125,0.54375,207.14875,0.225175
pe_basin_0_0087,2.504369118229022,12.169375,6.9405,1.7763250000000004,0.432725,1.1196875,0.34625,191.89675,0.26682500000000003
pe_basin_0_0088,3.212680831427098,12.208225,7.929500000000001,0.5442250000000001,0.287025,1.7015625,0.14875000000000002,176.64475,0.308475
pe_basin_0_0089,2.805900427528755,12.247075,8.918500000000002,2.6587750000000003,0.4528749999999999,2.2834375,0.45375,161.39274999999995,0.350125
pe_basin_0_0090,3.77146175063252,12.285925,9.9075,1.426675,0.307175,0.4784375,0.25625000000000003,146.14075,0.391775
pe_basin_0_0091,4.802953367918124,12.324775,10.8965,0.19457500000000005,0.4730249999999999,1.0603125,0.56125,130.88875,0.433425
pe_basin_0_0092,4.451655919805939,12.363625,11.8855,2.309125,0.327325,1.6421875,0.36375,115.63675,0.4750750000000001
pe_basin_0_0093,5.443049603067995,12.402475,12.8745,1.077025,0.181625,2.2240625,0.16625,100.38475,0.5167250000000001
pe_basin_0_0094,7.117422916311347,12.441325,13.863500000000002,-0.15507500000000002,0.347475,0.4190625,0.47125,85.13275,0.06592500000000001
pe_basin_0_0095,5.84182164543913,12.480175,14.852500000000004,1.959475,0.201775,1.0009375,0.27375000000000005,69.88075,0.107575
pe_basin_0_0096,2.5869699000661046,12.519025,7.1985,0.727375,0.367625,1.5828124999999995,0.57875,54.62875000000001,0.14922500000000002
pe_basin_0_0097,3.04093437316854,12.557875,8.1875,2.8419250000000003,0.221925,2.1646875,0.38125,39.37675000000001,0.190875
pe_basin_0_0098,3.0573583144204517,12.596725,9.1765,1.609825,0.387775,0.3596875,0.18375,24.12475,0.23252500000000004
pe_basin_0_0099,4.254066367506506,12.635575,10.165500000000002,0.377725,0.242075,0.9415625,0.48875,8.87275,0.2741750000000001
pe_basin_0_0100,3.789497488858744,12.674425,11.154500000000002,2.492275,0.407925,1.5234375,0.29125,376.82725,0.315825
pe_basin_0_0101,4.920378913209003,12.713275,12.1435,1.260175,0.262225,2.1053125,0.59625,361.57525,0.357475
pe_basin_0_0102,6.539964823594474,12.752125,13.1325,0.028074999999999992,0.428075,0.3003125,0.39875,346.32325,0.399125
pe_basin_0_0103,5.565293069732841,12.790975,14.1215,2.142625,0.282375,0.8821875,0.20125,331.07125,0.440775
pe_basin_0_0104,2.2982117373758144,12.829825,6.4675,0.910525,0.448225,1.4640625,0.5062500000000001,315.81925,0.482425
pe_basin_0_0105,2.486259999138704,12.868675,7.4565,3.025075,0.302525,2.0459375,0.30875,300.56725,0.5240750000000001
pe_basin_0_0106,2.539074322924387,12.907525,8.445500000000001,1.7929750000000002,0.468375,0.24093750000000005,0.61375,285.31525,0.073275
pe_basin_0_0107,3.431627306414755,12.946375,9.4345,0.560875,0.322675,0.8228125000000001,0.41625,270.06325,0.114925
pe_basin_0_0108,3.6831917894919166,12.985225,10.4235,2.675425,0.17697500000000002,1.4046875,0.21875,254.81125,0.15657500000000002
pe_basin_0_0109,4.2612898124938186,13.024075,11.4125,1.443325,0.342825,1.9865625,0.5237499999999999,239.55925,0.19822500000000004
pe_basin_0_0110,5.368502048964189,13.062925,12.401500000000002,0.211225,0.197125,0.1815625,0.32625000000000004,224.30725,0.239875
pe_basin_0_0111,5.1040802662479,13.101775,13.3905,2.325775,0.362975,0.7634375,0.6312500000000001,209.05525,0.281525
pe_basin_0_0112,5.950543663306352,13.140625,14.3795,1.0936750000000002,0.217275,1.3453125,0.43375,193.80325,0.323175
pe_basin_0_0113,2.33692770919784,13.179475,6.7255,-0.13842500000000002,0.383125,1.9271875,0.23625,178.55125,0.364825
pe_basin_0_0114,2.6838595302306723,13.218325,7.714500000000001,1.976125,0.237425,0.1221875,0.54125,163.29925,0.406475
pe_basin_0_0115,2.7716891687865566,13.257175,8.703500000000002,0.7440249999999999,0.403275,0.7040625000000001,0.34375,148.04725,0.4481250000000001
pe_basin_0_0116,2.956073865959401,13.296025,9.6925,2.858575,0.257575,1.2859374999999995,0.14625000000000002,132.79525,0.489775
